Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.SBT_26294, 6.694976E-011, -0.004883958, 6.694976E-011, -0.004883958, 0, 0
Line.SBT_23456, 0.3274502, 0.1062632, 0.3274502, 0.1062632, 0, 0
Line.SBT_23499, 0.492263, 0.1475247, 0.492263, 0.1475247, 0, 0
Line.SBT_13721, 0.2094375, 0.09751436, 0.2094375, 0.09751436, 0, 0
Line.SBT_13722, -6.792102E-011, -0.00264529, -6.792102E-011, -0.00264529, 0, 0
Line.SBT_34812, 0.1443988, 0.0442199, 0.1443988, 0.0442199, 0, 0
Line.SBT_34813, 0.1125959, 0.03447752, 0.1125959, 0.03447752, 0, 0
Line.SBT_8741, 0.09052242, 0.02392868, 0.09052242, 0.02392868, 0, 0
Line.SBT_8742, 1.092602, 0.3628108, 1.092602, 0.3628108, 0, 0
Line.SBT_34310, 3.218945, 1.643508, 3.218945, 1.643508, 0, 0
Line.SBT_34313, 0.5915155, 0.2923108, 0.5915155, 0.2923108, 0, 0
Line.SBT_7363, 1.826367, 0.6040928, 1.826367, 0.6040928, 0, 0
Line.SBT_7113, 1.091401, 0.551706, 1.091401, 0.551706, 0, 0
Line.SBT_7878, 0.5153117, 0.1610784, 0.5153117, 0.1610784, 0, 0
Line.SBT_8071, 1.326506, 0.6705646, 1.326506, 0.6705646, 0, 0
Line.SBT_23129, 1.662469, 0.5481377, 1.662469, 0.5481377, 0, 0
Line.SBT_23120, 1.870078, 0.6185703, 1.870078, 0.6185703, 0, 0
Line.SBT_23507, 0.5991217, 0.196806, 0.5991217, 0.196806, 0, 0
Line.SBT_23508, -3.691759E-011, -0.01344481, -3.691759E-011, -0.01344481, 0, 0
Line.SBT_8751, 1.615337E-010, -0.0123202, 1.615337E-010, -0.0123202, 0, 0
Line.SBT_16715, 1.333233E-009, -0.001757222, 1.333233E-009, -0.001757222, 0, 0
Line.SBT_16716, 1.536666, 0.2248139, 1.536666, 0.2248139, 0, 0
Line.SBT_16717, 0.2164064, 0.02677211, 0.2164064, 0.02677211, 0, 0
Line.SBT_34034, 17.50936, 2.612485, 17.50936, 2.612485, 0, 0
Line.SBT_34030, 0.001855986, -0.007831725, 0.001855986, -0.007831725, 0, 0
Line.SBT_34031, 1.124311, 0.1599879, 1.124311, 0.1599879, 0, 0
Line.SBT_34036, 6.850602, 1.018318, 6.850602, 1.018318, 0, 0
Line.SBT_34037, 6.322705, 0.9377503, 6.322705, 0.9377503, 0, 0
Line.SBT_34038, 2.023628, 0.2961789, 2.023628, 0.2961789, 0, 0
Line.SBT_34039, 1.046601, 0.149504, 1.046601, 0.149504, 0, 0
Line.SBT_34040, 15.55041, 2.319703, 15.55041, 2.319703, 0, 0
Line.SBT_34041, 0.02488584, -0.001545266, 0.02488584, -0.001545266, 0, 0
Line.SBT_34042, -5.277391E-010, -0.009109673, -5.277391E-010, -0.009109673, 0, 0
