
Power Delivery Element Overload Report

SYMMETRICAL COMPONENT CURRENTS BY CIRCUIT ELEMENT 

Element                             Term    I1    IOver %Normal  %Emerg     I2    %I2/I1    I0    %I0/I1
"Line.IT_40_2088_51062"   1     7.7 -208.33     3.5   255.5     0.0     0.0     0.0     0.0
"Line.IT_40_2112_30230"   1     4.6 -211.41     2.1   152.9     0.0     0.0     0.0     0.0
"Line.IT_40_2774_62101"   1    22.1 -140.84    13.6   277.0     0.0     0.1     0.0     0.0
"Line.IT_40_3131_40047"   1    15.8 -147.24     9.7   197.0     0.0     0.0     0.0     0.0
"Line.IT_40_3131_40048"   1    15.8 -147.24     9.7   197.0     0.0     0.0     0.0     0.0
"Line.IT_40_3131_40049"   1    15.8 -147.24     9.7   197.0     0.0     0.0     0.0     0.0
"Line.IT_40_3131_40051"   1    15.8 -147.24     9.7   197.0     0.0     0.0     0.0     0.0
"Line.IT_40_3365_57008"   1     1.9 -212.82     1.5   106.1     0.6    33.6     0.6    33.6
"Line.IT_40_3806_40057"   1     8.8 -154.23     5.4   109.6     0.0     0.0     0.0     0.0
"Line.IT_40_3806_40058"   1     8.8 -154.23     5.4   109.6     0.0     0.0     0.0     0.0
"Line.IT_40_3813_40578"   1    11.1 -151.94     6.8   138.2     0.0     0.1     0.0     0.0
"Line.IT_40_3813_40582"   1    11.9 -151.09     7.3   148.9     0.0     0.1     0.0     0.0
"Line.IT_40_4018_8739"    1     9.8 -153.22     6.0   122.2     0.0     0.0     0.0     0.0
"Line.IT_40_4411_29223"   1    12.2 -150.78     7.5   152.8     0.0     0.0     0.0     0.0
"Line.IT_40_4411_47305"   1    14.4 -148.63     8.8   179.6     0.0     0.0     0.0     0.0
"Line.IT_40_5149_33027"   1     6.7 -209.28     3.1   223.9     0.0     0.0     0.0     0.0
"Line.IT_40_5149_49495"   1     6.7 -209.28     3.1   223.9     0.0     0.0     0.0     0.0
"Line.IT_40_5149_49496"   1     6.7 -209.28     3.1   223.9     0.0     0.0     0.0     0.0
"Line.IT_40_531_29452"    1     3.5 -212.55     1.6   115.2     0.0     0.0     0.0     0.0
"Line.IT_40_531_30035"    1     3.5 -212.55     1.6   115.2     0.0     0.0     0.0     0.0
"Line.IT_40_531_30094"    1     3.5 -212.55     1.6   115.2     0.0     0.0     0.0     0.0
"Line.IT_40_531_57001"    1     3.5 -212.55     1.6   115.2     0.0     0.0     0.0     0.0
"Line.IT_40_5403_44224"   1     3.1 -212.86     1.5   104.5     0.0     0.0     0.0     0.0
"Line.IT_40_567_62783"    1     2.2 -212.95     1.4   101.7     0.5    22.2     0.5    22.3
"Line.IT_40_567_62784"    1     4.6 -208.92     3.3   236.1     1.6    34.9     1.6    34.9
"Line.IT_40_567_62785"    1     5.2 -207.29     4.0   290.2     2.1    39.8     2.1    39.8
"Line.IT_40_567_62793"    1     5.5 -210.02     2.8   199.5     0.3     5.3     0.3     5.3
"Line.IT_40_5773_30935"   1     5.1 -210.94     2.3   168.8     0.0     0.1     0.0     0.0
"Line.IT_40_5953_51478"   1     8.8 -154.16     5.4   110.5     0.0     0.0     0.0     0.0
"Line.IT_40_6040_44686"   1     3.4 -212.10     1.8   130.1     0.4    12.7     0.4    12.7
"Line.IT_40_6773_32406"   1     3.5 -212.51     1.6   116.2     0.0     0.0     0.0     0.0
"Line.IT_41_3509_28116"   1     3.4 -212.59     1.6   113.7     0.0     0.0     0.0     0.0
"Line.IT_47_2251_35452"   1     4.9 -211.12     2.3   162.7     0.0     0.0     0.0     0.0
"Line.MT1"                1    54.6 -550.75     9.1   613.9     0.9     1.6     0.5     0.9
"Line.MT101972_1"         1    26.1 -298.15     8.8   480.9     1.8     6.8     1.0     3.9
"Line.MT101973_1"         1    26.1 -297.95     8.9   484.1     1.8     7.1     1.1     4.1
"Line.MT101975_1"         1    26.1 -298.19     8.8   480.2     1.8     6.8     1.0     3.8
"Line.MT101978_1"         1    26.1 -298.19     8.8   480.2     1.8     6.8     1.0     3.8
"Line.MT101980_1"         1    26.1 -297.95     8.9   484.1     1.8     7.1     1.1     4.1
"Line.MT103646_1"         1     9.6 -152.72     6.3   128.5     0.7     7.2     0.0     0.4
"Line.MT104190_1"         1    54.6 -372.75    12.9  1381.3     0.9     1.6     0.5     0.9
"Line.MT104191_1"         1    54.6 -372.75    12.9  1381.3     0.9     1.6     0.5     0.9
"Line.MT104192_1"         1    54.6 -372.75    12.9  1381.3     0.9     1.6     0.5     0.9
"Line.MT104193_1"         1    54.6 -372.75    12.9  1381.3     0.9     1.6     0.5     0.9
"Line.MT104353_2"         1    54.6 -372.75    12.9  1381.2     0.9     1.6     0.5     0.9
"Line.MT104624_1"         1    21.4 -304.69     6.8   371.9     0.9     4.3     0.0     0.0
"Line.MT107982_1"         1    54.6 -372.75    12.9  1381.2     0.9     1.6     0.5     0.9
"Line.MT111809_1"         1    52.4 -374.50    12.5  1337.4     1.4     2.6     0.2     0.4
