
Power Delivery Element Overload Report

SYMMETRICAL COMPONENT CURRENTS BY CIRCUIT ELEMENT 

Element                             Term    I1    IOver %Normal  %Emerg     I2    %I2/I1    I0    %I0/I1
"Line.MT17017_1"          1    32.9 -289.81    11.4   619.9     2.6     8.0     1.8     5.5
"Line.MT17019_1"          1    32.9 -289.81    11.4   619.9     2.6     8.0     1.8     5.5
"Line.MT17020_1"          1    32.9 -289.81    11.4   619.9     2.6     8.0     1.8     5.5
"Line.MT17021_1"          1    32.9 -289.81    11.4   619.9     2.6     8.0     1.8     5.5
"Line.MT17022_1"          1    32.9 -289.81    11.4   619.9     2.6     8.0     1.8     5.5
"Line.MT17023_1"          1    32.9 -289.81    11.4   619.8     2.6     8.0     1.8     5.5
"Line.MT17024_1"          1    32.9 -289.81    11.4   619.8     2.6     8.0     1.8     5.5
"Line.MT17025_1"          1    32.9 -289.81    11.4   619.8     2.6     8.0     1.8     5.5
"Line.MT17026_1"          1    32.9 -289.81    11.4   619.9     2.6     8.0     1.8     5.5
"Line.MT17027_1"          1    32.9 -289.81    11.4   619.9     2.6     8.0     1.8     5.5
"Line.MT17028_1"          1    32.9 -289.81    11.4   619.8     2.6     8.0     1.8     5.5
"Line.MT17029_1"          1    32.9 -289.74    11.4   621.0     2.7     8.1     1.8     5.5
"Line.MT17030_1"          1    32.9 -289.74    11.4   621.0     2.7     8.1     1.8     5.5
"Line.MT17031_1"          1    32.9 -289.74    11.4   621.0     2.7     8.1     1.8     5.5
"Line.MT17032_1"          1    32.9 -289.74    11.4   621.0     2.7     8.1     1.8     5.5
"Line.MT17343_1"          1     6.7 -154.98     4.9   100.3     0.7    10.9     0.8    12.5
"Line.MT17344_1"          1     6.7 -154.98     4.9   100.3     0.7    10.9     0.8    12.5
"Line.MT18748_1"          1    32.9 -289.74    11.4   621.0     2.7     8.1     1.8     5.5
"Line.MT18749_1"          1    32.9 -289.65    11.4   622.5     2.7     8.2     1.9     5.6
"Line.MT18750_1"          1    32.9 -289.65    11.4   622.5     2.7     8.2     1.9     5.6
"Line.MT18751_1"          1    32.9 -289.65    11.4   622.5     2.7     8.2     1.9     5.6
"Line.MT18752_1"          1    33.0 -289.50    11.5   625.0     2.7     8.3     1.9     5.8
"Line.MT18769_1"          1     6.7 -155.00     4.9   100.0     0.9    13.4     0.9    13.8
"Line.MT18770_1"          1     6.7 -155.00     4.9   100.0     0.9    13.4     0.9    13.8
"Line.MT21108_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT21111_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT21112_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT21113_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT21114_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT21115_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT21116_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT21117_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT21118_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT21119_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT21120_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT21121_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT21122_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT21123_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT21124_1"          1    38.6 -284.09    13.1   715.1     2.6     6.8     2.0     5.2
"Line.MT21125_1"          1    38.6 -284.09    13.1   715.1     2.6     6.8     2.0     5.2
"Line.MT21126_1"          1    39.9 -282.79    13.5   736.8     2.6     6.6     2.0     5.1
"Line.MT21127_1"          1    39.9 -282.79    13.5   736.8     2.6     6.6     2.0     5.1
"Line.MT21128_1"          1    40.1 -282.79    13.5   736.8     2.5     6.3     1.9     4.7
"Line.MT21136_1"          1    40.1 -282.79    13.5   736.8     2.5     6.3     1.9     4.7
"Line.MT21137_1"          1    40.1 -282.79    13.5   736.8     2.5     6.3     1.9     4.7
"Line.MT21138_1"          1    45.4 -379.86    11.2  1203.5     1.7     3.8     1.2     2.6
"Line.MT21139_1"          1     5.3 -320.32     2.0   111.4     0.9    16.8     0.7    13.8
"Line.MT21596_1"          1    52.8 -374.41    12.5  1339.8     1.1     2.1     0.4     0.7
"Line.MT21597_1"          1    52.8 -374.41    12.5  1339.8     1.1     2.1     0.4     0.7
"Line.MT21599_1"          1    52.8 -374.41    12.5  1339.8     1.1     2.1     0.4     0.7
"Line.MT21600_1"          1    52.8 -374.41    12.5  1339.8     1.1     2.1     0.4     0.7
"Line.MT21601_1"          1    52.8 -374.41    12.5  1339.8     1.1     2.1     0.4     0.7
"Line.MT21602_1"          1    52.9 -374.41    12.5  1339.7     1.0     1.9     0.4     0.8
"Line.MT21607_1"          1    52.9 -374.41    12.5  1339.7     1.0     1.9     0.4     0.8
"Line.MT21609_1"          1    53.1 -374.18    12.6  1345.5     1.0     1.8     0.4     0.8
"Line.MT21610_1"          1    53.1 -374.18    12.6  1345.5     1.0     1.8     0.4     0.8
"Line.MT21617_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21618_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21619_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21620_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21621_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21622_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21623_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21624_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21625_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21626_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21627_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21628_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21629_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21630_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21631_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT21632_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.5     0.8
"Line.MT21633_1"          1    53.9 -373.38    12.8  1365.4     1.0     1.8     0.5     0.8
"Line.MT21634_1"          1    53.9 -373.39    12.8  1365.4     1.0     1.8     0.5     0.8
"Line.MT21635_1"          1    53.9 -373.39    12.8  1365.4     1.0     1.8     0.5     0.8
"Line.MT21636_1"          1    53.9 -373.39    12.8  1365.4     1.0     1.8     0.5     0.8
"Line.MT21637_1"          1    53.9 -373.39    12.8  1365.4     1.0     1.8     0.5     0.8
"Line.MT21638_1"          1    53.9 -373.39    12.8  1365.4     1.0     1.8     0.5     0.8
"Line.MT21639_1"          1    53.9 -373.39    12.8  1365.3     1.0     1.8     0.5     0.8
"Line.MT21640_1"          1    54.0 -373.27    12.8  1368.3     0.9     1.7     0.5     1.0
"Line.MT22853_1"          1    49.3 -377.50    11.8  1262.4     1.7     3.4     0.2     0.5
"Line.MT22854_1"          1    49.3 -377.50    11.8  1262.4     1.7     3.4     0.2     0.5
"Line.MT22908_1"          1    45.4 -379.81    11.3  1204.8     1.7     3.7     1.2     2.6
"Line.MT23429_1"          1     7.5 -154.19     5.4   110.1     0.7     9.2     0.8    11.1
"Line.MT23430_1"          1     6.7 -154.98     4.9   100.3     0.7    10.8     0.8    12.4
"Line.MT23431_1"          1     7.5 -154.19     5.4   110.1     0.7     9.2     0.8    11.1
"Line.MT23432_1"          1     7.5 -154.19     5.4   110.1     0.7     9.2     0.8    11.1
"Line.MT23433_1"          1     7.5 -154.19     5.4   110.1     0.7     9.2     0.8    11.1
"Line.MT23434_1"          1     7.5 -154.19     5.4   110.1     0.7     9.2     0.8    11.1
"Line.MT23435_1"          1     7.5 -154.19     5.4   110.1     0.7     9.2     0.8    11.1
"Line.MT23436_1"          1     6.7 -154.98     4.9   100.3     0.7    10.9     0.8    12.5
"Line.MT23437_1"          1     6.7 -154.98     4.9   100.3     0.7    10.9     0.8    12.5
"Line.MT23803_1"          1     8.8 -152.50     6.4   131.2     0.9     9.7     1.0    11.4
"Line.MT23804_1"          1     8.8 -152.50     6.4   131.2     0.9     9.7     1.0    11.4
"Line.MT23805_1"          1     8.8 -152.50     6.4   131.2     0.9     9.7     1.0    11.4
"Line.MT23806_1"          1     9.0 -152.31     6.6   133.7     0.8     9.4     1.0    11.1
"Line.MT23807_1"          1     8.8 -152.50     6.4   131.2     0.9     9.7     1.0    11.4
"Line.MT23808_1"          1     9.0 -152.31     6.6   133.7     0.8     9.4     1.0    11.1
"Line.MT23809_1"          1     9.0 -152.31     6.6   133.7     0.8     9.4     1.0    11.1
"Line.MT23810_1"          1     9.0 -152.31     6.6   133.7     0.8     9.4     1.0    11.1
"Line.MT23811_1"          1     9.0 -152.31     6.6   133.7     0.8     9.4     1.0    11.1
"Line.MT25292_1"          1    40.1 -282.79    13.5   736.8     2.5     6.3     1.9     4.7
"Line.MT25293_1"          1    45.4 -379.86    11.2  1203.5     1.7     3.8     1.2     2.6
"Line.MT28013_1"          1    49.3 -377.50    11.8  1262.4     1.7     3.4     0.2     0.5
"Line.MT28014_1"          1    49.3 -377.50    11.8  1262.4     1.7     3.4     0.2     0.5
"Line.MT28015_1"          1    49.3 -377.50    11.8  1262.4     1.7     3.4     0.2     0.5
"Line.MT28016_1"          1    49.3 -377.50    11.8  1262.4     1.7     3.4     0.2     0.5
"Line.MT28017_1"          1    49.3 -377.50    11.8  1262.4     1.7     3.4     0.2     0.5
"Line.MT28018_1"          1    49.4 -377.50    11.8  1262.4     1.7     3.5     0.3     0.5
"Line.MT28019_1"          1    49.4 -377.45    11.8  1263.8     1.7     3.5     0.3     0.6
"Line.MT28020_1"          1    49.4 -377.45    11.8  1263.8     1.7     3.5     0.3     0.6
"Line.MT28024_1"          1    49.4 -377.45    11.8  1263.7     1.7     3.5     0.3     0.6
"Line.MT28025_1"          1    49.5 -377.45    11.8  1263.7     1.7     3.4     0.2     0.4
"Line.MT28026_1"          1    49.5 -377.45    11.8  1263.7     1.7     3.4     0.2     0.4
"Line.MT28027_1"          1    49.5 -377.45    11.8  1263.7     1.7     3.4     0.2     0.4
"Line.MT28028_1"          1    49.5 -377.45    11.8  1263.7     1.7     3.4     0.2     0.4
"Line.MT28029_1"          1    49.5 -377.45    11.8  1263.7     1.7     3.4     0.2     0.4
"Line.MT28030_1"          1    49.5 -377.45    11.8  1263.7     1.7     3.4     0.2     0.4
"Line.MT28032_1"          1    49.5 -377.45    11.8  1263.7     1.7     3.4     0.2     0.4
"Line.MT28033_1"          1    49.5 -377.45    11.8  1263.7     1.7     3.4     0.2     0.4
"Line.MT28034_1"          1    49.5 -377.45    11.8  1263.7     1.7     3.4     0.2     0.4
"Line.MT28035_1"          1    49.5 -377.45    11.8  1263.7     1.7     3.4     0.2     0.4
"Line.MT28037_1"          1    52.4 -374.50    12.5  1337.4     1.4     2.6     0.2     0.4
"Line.MT28042_1"          1    52.4 -374.50    12.5  1337.4     1.4     2.6     0.2     0.4
"Line.MT28043_1"          1    52.4 -374.50    12.5  1337.4     1.4     2.6     0.2     0.4
"Line.MT28044_1"          1    52.5 -374.41    12.5  1339.8     1.4     2.7     0.2     0.4
"Line.MT28046_1"          1    52.5 -374.41    12.5  1339.8     1.4     2.7     0.2     0.4
"Line.MT28048_1"          1    52.5 -374.41    12.5  1339.8     1.4     2.7     0.2     0.4
"Line.MT28049_1"          1    52.5 -374.41    12.5  1339.8     1.4     2.7     0.2     0.4
"Line.MT28050_1"          1    52.5 -374.41    12.5  1339.8     1.4     2.7     0.2     0.4
"Line.MT28051_1"          1    52.8 -374.41    12.5  1339.8     1.1     2.1     0.4     0.7
"Line.MT28480_1"          1    54.3 -372.98    12.9  1375.5     0.9     1.7     0.5     1.0
"Line.MT28481_1"          1    54.3 -372.98    12.9  1375.5     0.9     1.7     0.5     1.0
"Line.MT28482_1"          1    54.3 -372.98    12.9  1375.5     0.9     1.7     0.5     1.0
"Line.MT28483_1"          1    54.3 -372.98    12.9  1375.5     0.9     1.7     0.5     1.0
"Line.MT28484_1"          1    54.3 -372.97    12.9  1375.7     0.9     1.7     0.5     1.0
"Line.MT28485_1"          1    54.3 -372.97    12.9  1375.7     0.9     1.7     0.5     1.0
"Line.MT28492_1"          1    54.6 -372.74    12.9  1381.4     0.9     1.6     0.5     0.9
"Line.MT36929_1"          1     5.3 -320.32     2.0   111.4     0.9    16.8     0.7    13.8
"Line.MT38107_1"          1    53.9 -373.41    12.8  1364.7     1.0     1.8     0.4     0.8
"Line.MT38108_1"          1    48.3 -378.54    11.6  1236.4     1.7     3.5     0.1     0.3
"Line.MT38109_1"          1    48.5 -378.31    11.6  1242.2     1.6     3.2     0.2     0.4
"Line.MT38111_1"          1    48.8 -378.19    11.6  1245.1     1.6     3.2     0.1     0.2
"Line.MT38112_1"          1    49.3 -377.50    11.8  1262.5     1.7     3.4     0.2     0.5
"Line.MT38155_1"          1    54.6 -372.75    12.9  1381.3     0.9     1.6     0.5     0.9
"Line.MT38665_1"          1    26.1 -297.95     8.9   484.1     1.8     7.1     1.1     4.1
"Line.MT39387_1"          1    54.6 -372.75    12.9  1381.2     0.9     1.6     0.5     0.9
"Line.MT39388_1"          1    54.6 -372.75    12.9  1381.2     0.9     1.6     0.5     0.9
"Line.MT39389_1"          1    54.6 -372.75    12.9  1381.2     0.9     1.6     0.5     0.9
"Line.MT39390_1"          1    54.6 -372.75    12.9  1381.2     0.9     1.6     0.5     0.9
"Line.MT39391_1"          1    54.6 -372.75    12.9  1381.3     0.9     1.6     0.5     0.9
"Line.MT39966_1"          1     7.5 -154.19     5.4   110.1     0.7     9.2     0.8    11.1
"Line.MT40287_1"          1     8.7 -152.61     6.4   129.9     0.9    10.1     1.0    11.5
"Line.MT40294_1"          1    10.0 -152.27     6.6   134.2     0.8     8.0     0.0     0.3
"Line.MT40847_1"          1    54.6 -372.74    12.9  1381.4     0.9     1.6     0.5     0.9
"Line.MT40850_1"          1    54.6 -372.74    12.9  1381.4     0.9     1.6     0.5     0.9
"Line.MT42449_1"          1    20.6 -304.80     6.8   370.0     0.9     4.3     1.0     5.0
"Line.MT43629_1"          1     5.3 -320.32     2.0   111.4     0.9    16.8     0.7    13.8
"Line.MT44203_1"          1    10.2 -152.04     6.7   137.0     0.8     8.2     0.0     0.3
"Line.MT47734_1"          1    11.6 -150.57     7.6   155.3     0.9     7.6     0.0     0.3
"Line.MT56848_1"          1    26.1 -298.19     8.8   480.2     1.8     6.8     1.0     3.8
"Line.MT56849_1"          1    32.9 -289.74    11.4   621.0     2.7     8.1     1.8     5.5
"Line.MT65803_1"          1    33.1 -289.50    11.5   625.0     2.7     8.2     1.9     5.7
"Line.MT65804_1"          1    33.1 -289.50    11.5   625.0     2.7     8.2     1.9     5.7
"Line.MT75296_1"          1    20.6 -304.80     6.8   370.0     0.9     4.3     1.0     5.0
"Line.MT75297_1"          1    21.4 -304.68     6.8   371.9     0.9     4.3     0.0     0.0
"Line.MT75298_1"          1    21.4 -304.69     6.8   371.9     0.9     4.3     0.0     0.0
"Line.MT75299_1"          1    21.4 -304.69     6.8   371.9     0.9     4.3     0.0     0.0
"Line.MT75300_1"          1    21.4 -304.69     6.8   371.9     0.9     4.3     0.0     0.0
"Line.MT75301_1"          1    21.4 -304.69     6.8   371.9     0.9     4.3     0.0     0.0
"Line.MT75304_1"          1    21.9 -303.62     7.2   389.7     1.2     5.4     0.3     1.3
"Line.MT75305_1"          1    21.8 -304.14     7.0   381.0     1.0     4.7     0.1     0.6
"Line.MT75306_1"          1    21.8 -304.14     7.0   381.0     1.0     4.7     0.1     0.6
"Line.MT75307_1"          1    21.8 -304.14     7.0   381.1     1.0     4.7     0.1     0.6
"Line.MT75308_1"          1    21.8 -304.14     7.0   381.1     1.0     4.7     0.1     0.6
"Line.MT75309_1"          1    21.8 -304.14     7.0   381.1     1.0     4.7     0.1     0.6
"Line.MT75310_1"          1    21.8 -304.14     7.0   381.1     1.0     4.7     0.1     0.6
"Line.MT75311_1"          1    21.8 -304.14     7.0   381.1     1.0     4.7     0.1     0.6
"Line.MT75312_1"          1    21.8 -304.14     7.0   381.1     1.0     4.7     0.1     0.6
"Line.MT75313_1"          1    21.8 -304.13     7.0   381.1     1.0     4.7     0.1     0.6
"Line.MT75314_1"          1    21.8 -304.13     7.0   381.1     1.0     4.7     0.1     0.6
"Line.MT75315_1"          1    21.8 -304.13     7.0   381.1     1.0     4.7     0.1     0.6
"Line.MT75316_1"          1    21.7 -304.20     7.0   380.0     1.0     4.6     0.1     0.5
"Line.MT75317_1"          1    21.7 -304.20     7.0   380.0     1.0     4.6     0.1     0.5
"Line.MT75318_1"          1    21.7 -304.20     7.0   380.0     1.0     4.6     0.1     0.5
"Line.MT75319_1"          1    21.7 -304.20     7.0   380.0     1.0     4.6     0.1     0.5
"Line.MT75320_1"          1    21.7 -304.20     7.0   380.0     1.0     4.6     0.1     0.5
"Line.MT75321_1"          1    21.7 -304.20     7.0   380.1     1.0     4.6     0.1     0.5
"Line.MT75322_1"          1    21.7 -304.20     7.0   380.1     1.0     4.6     0.1     0.5
"Line.MT75323_1"          1    21.7 -304.20     7.0   380.1     1.0     4.6     0.1     0.5
"Line.MT75573_1"          1    38.6 -284.15    13.1   714.2     2.6     6.7     2.0     5.2
"Line.MT77173_1"          1    21.7 -304.28     6.9   378.7     1.0     4.5     0.1     0.4
"Line.MT77174_1"          1    21.7 -304.28     6.9   378.7     1.0     4.5     0.1     0.4
"Line.MT77175_1"          1    21.7 -304.28     6.9   378.7     1.0     4.5     0.1     0.4
"Line.MT77176_1"          1    21.7 -304.28     6.9   378.7     1.0     4.5     0.1     0.4
"Line.MT77582_1"          1    52.4 -374.50    12.5  1337.4     1.4     2.6     0.2     0.4
"Line.MT77597_1"          1    33.8 -288.00    11.9   650.0     3.1     9.1     2.3     6.7
"Line.MT77598_1"          1    33.8 -288.00    11.9   650.0     3.1     9.1     2.3     6.7
"Line.MT77599_1"          1    33.7 -288.39    11.8   643.5     3.0     8.8     2.1     6.3
"Line.MT77601_1"          1    33.7 -288.39    11.8   643.5     3.0     8.8     2.1     6.3
"Line.MT77602_1"          1    33.7 -288.41    11.8   643.2     2.9     8.7     2.1     6.3
"Line.MT77604_1"          1    33.8 -288.00    11.9   650.0     3.1     9.1     2.3     6.7
"Line.MT77610_1"          1    25.8 -298.57     8.7   473.8     1.7     6.6     0.9     3.5
"Line.MT77613_1"          1    25.8 -298.57     8.7   473.8     1.7     6.6     0.9     3.5
"Line.MT77616_1"          1    25.8 -298.57     8.7   473.8     1.7     6.6     0.9     3.5
"Line.MT77617_1"          1    26.0 -298.47     8.7   475.5     1.7     6.5     0.9     3.5
"Line.MT78010_1"          1    26.0 -298.45     8.7   475.9     1.7     6.5     0.9     3.5
"Line.MT78011_1"          1    26.1 -297.95     8.9   484.1     1.8     7.1     1.1     4.1
"Line.MT78014_1"          1    26.2 -297.83     8.9   486.2     1.9     7.2     1.1     4.3
"Line.MT78015_1"          1    26.2 -297.83     8.9   486.2     1.9     7.2     1.1     4.3
"Line.MT78018_1"          1    32.9 -289.81    11.4   619.9     2.6     8.0     1.8     5.5
"Line.MT78031_1"          1    33.0 -289.50    11.5   625.0     2.7     8.3     1.9     5.8
"Line.MT78033_1"          1    33.1 -289.50    11.5   625.0     2.7     8.2     1.9     5.7
"Line.MT78034_1"          1    33.1 -289.50    11.5   625.0     2.7     8.2     1.9     5.7
"Line.MT78035_1"          1    33.1 -289.50    11.5   625.0     2.7     8.2     1.9     5.7
"Line.MT78036_1"          1    33.1 -289.50    11.5   625.0     2.7     8.2     1.9     5.7
"Line.MT78039_1"          1    33.1 -289.50    11.5   625.0     2.7     8.2     1.9     5.7
"Line.MT78040_1"          1    33.1 -289.50    11.5   625.0     2.7     8.2     1.9     5.7
"Line.MT78041_1"          1    33.1 -289.50    11.5   624.9     2.7     8.2     1.9     5.7
"Line.MT78042_1"          1    33.6 -288.57    11.8   640.6     2.9     8.7     2.1     6.2
"Line.MT78043_1"          1    33.6 -288.57    11.8   640.6     2.9     8.7     2.1     6.2
"Line.MT78044_1"          1    33.6 -288.57    11.8   640.6     2.9     8.7     2.1     6.2
"Line.MT78045_1"          1    33.6 -288.57    11.8   640.6     2.9     8.7     2.1     6.2
"Line.MT78046_1"          1    33.5 -288.72    11.7   638.0     2.9     8.5     2.0     6.1
"Line.MT78047_1"          1    33.4 -288.83    11.7   636.2     2.9     8.5     2.0     6.1
"Line.MT78049_1"          1    33.4 -288.83    11.7   636.2     2.9     8.5     2.0     6.1
"Line.MT78050_1"          1    33.4 -288.83    11.7   636.2     2.9     8.5     2.0     6.1
"Line.MT78052_1"          1    33.4 -288.83    11.7   636.2     2.9     8.5     2.0     6.1
"Line.MT78053_1"          1    33.4 -288.83    11.7   636.2     2.9     8.5     2.0     6.1
"Line.MT78153_1"          1    33.7 -288.41    11.8   643.2     2.9     8.7     2.1     6.3
"Line.MT78161_1"          1    33.6 -288.57    11.8   640.6     2.9     8.7     2.1     6.2
"Line.MT78187_1"          1    33.7 -288.39    11.8   643.5     3.0     8.8     2.1     6.3
"Line.MT78188_1"          1    33.7 -288.39    11.8   643.5     3.0     8.8     2.1     6.3
"Line.MT78189_1"          1    33.7 -288.41    11.8   643.1     2.9     8.7     2.1     6.3
"Line.MT78190_1"          1    33.7 -288.41    11.8   643.1     2.9     8.7     2.1     6.3
"Line.MT78191_1"          1    33.7 -288.41    11.8   643.1     2.9     8.7     2.1     6.3
"Line.MT78192_1"          1    33.7 -288.41    11.8   643.1     2.9     8.7     2.1     6.3
"Line.MT78193_1"          1    33.7 -288.41    11.8   643.1     2.9     8.7     2.1     6.3
"Line.MT78194_1"          1    33.7 -288.41    11.8   643.2     2.9     8.7     2.1     6.3
"Line.MT78195_1"          1    33.7 -288.41    11.8   643.2     2.9     8.7     2.1     6.3
"Line.MT78196_1"          1    33.7 -288.41    11.8   643.2     2.9     8.7     2.1     6.3
"Line.MT78197_1"          1    33.7 -288.41    11.8   643.2     2.9     8.7     2.1     6.3
"Line.MT78892_1"          1    25.8 -298.57     8.7   473.8     1.7     6.6     0.9     3.5
"Line.MT79523_1"          1    33.4 -288.83    11.7   636.2     2.9     8.5     2.0     6.1
"Line.MT79524_1"          1    33.4 -288.83    11.7   636.2     2.9     8.5     2.0     6.1
"Line.MT79525_1"          1    33.4 -288.89    11.7   635.2     2.8     8.5     2.0     6.0
"Line.MT79528_1"          1    33.4 -289.08    11.6   632.0     2.8     8.3     2.0     5.9
"Line.MT79932_1"          1    47.2 -379.82    11.3  1204.5     1.8     3.7     0.0     0.0
"Line.MT79933_1"          1    47.2 -379.82    11.3  1204.5     1.8     3.7     0.0     0.0
"Line.MT80513_1"          1    33.7 -288.41    11.8   643.2     2.9     8.7     2.1     6.3
"Line.MT80921_1"          1     8.7 -152.61     6.4   129.9     0.9     9.9     1.0    11.5
"Line.MT80972_1"          1     8.7 -152.61     6.4   129.9     0.9     9.9     1.0    11.5
"Line.MT88376_1"          1    54.3 -372.98    12.9  1375.5     0.9     1.7     0.5     1.0
"Line.MT88377_1"          1    54.3 -372.98    12.9  1375.5     0.9     1.7     0.5     1.0
"Line.MT88379_1"          1    54.3 -372.98    12.9  1375.5     0.9     1.7     0.5     1.0
"Line.MT88381_1"          1    54.3 -372.98    12.9  1375.5     0.9     1.7     0.5     1.0
"Line.MT88383_1"          1    54.3 -372.98    12.9  1375.5     0.9     1.7     0.5     1.0
"Line.MT88385_1"          1    54.3 -372.98    12.9  1375.5     0.9     1.7     0.5     1.0
"Line.MT88387_1"          1    54.3 -372.98    12.9  1375.5     0.9     1.7     0.5     1.0
"Line.MT88390_1"          1    54.3 -372.98    12.9  1375.5     0.9     1.7     0.5     1.0
"Line.MT88396_1"          1    53.9 -373.26    12.8  1368.5     1.0     1.9     0.5     0.8
"Line.MT88399_1"          1    54.0 -373.27    12.8  1368.3     0.9     1.7     0.5     1.0
"Line.MT88401_1"          1    54.0 -373.27    12.8  1368.3     0.9     1.7     0.5     1.0
"Line.MT88416_1"          1    53.9 -373.26    12.8  1368.5     1.0     1.9     0.5     0.8
"Line.MT88417_1"          1    53.9 -373.26    12.8  1368.5     1.0     1.9     0.5     0.8
"Line.MT90339_1"          1    21.9 -303.56     7.2   390.7     1.2     5.5     0.3     1.4
"Line.MT90340_1"          1    22.0 -303.50     7.2   391.6     1.2     5.5     0.3     1.4
"Line.MT90341_1"          1    49.5 -377.45    11.8  1263.7     1.7     3.4     0.2     0.4
"Line.MT90342_1"          1    50.0 -376.98    11.9  1275.5     1.6     3.2     0.2     0.4
"Line.MT90343_1"          1    52.5 -374.41    12.5  1339.8     1.4     2.7     0.2     0.4
"Line.MT90344_1"          1    47.2 -379.82    11.3  1204.5     1.8     3.7     0.0     0.0
"Line.MT90345_1"          1    48.3 -378.54    11.6  1236.5     1.7     3.5     0.1     0.3
"Line.MT90346_1"          1    48.9 -378.20    11.6  1245.1     1.5     3.0     0.0     0.1
"Line.MT91897_1"          1    47.4 -379.68    11.3  1208.0     1.8     3.7     0.0     0.0
"Line.MT92784_1"          1    21.9 -303.56     7.2   390.7     1.2     5.5     0.3     1.4
"Line.MT93355_1"          1    33.4 -289.08    11.6   632.0     2.8     8.3     2.0     5.9
"Line.MT93357_1"          1    33.4 -289.08    11.6   632.0     2.8     8.3     2.0     5.9
"Line.MT93834_1"          1    47.7 -379.28    11.4  1218.0     1.8     3.7     0.0     0.0
"Line.MT93867_1"          1    38.5 -284.15    13.1   714.2     2.6     6.8     2.0     5.2
"Line.MT94726_1"          1    33.7 -288.41    11.8   643.2     2.9     8.7     2.1     6.3
"Line.MT94727_1"          1    33.7 -288.41    11.8   643.2     2.9     8.7     2.1     6.3
"Line.MT95785_1"          1    33.4 -288.88    11.7   635.3     2.8     8.5     2.0     6.0
"Line.MT95786_1"          1    33.4 -288.89    11.7   635.2     2.8     8.5     2.0     6.0
"Line.MT98083_1"          1    47.2 -379.82    11.3  1204.5     1.8     3.7     0.0     0.0
"Line.RAMAL_26642"        1    48.0  -19.91    70.7   192.3     0.1     0.3     0.0     0.0
"Line.RAMAL_45180"        1    25.6  -42.44    37.6   102.2     0.0     0.0     0.0     0.0
"Transformer.RT39_627"    1   156.3  133.63   679.6   498.3     0.3     0.2     0.0     0.0
"Transformer.RT40_1296"   1   316.3  271.48   690.5   506.4     1.4     0.4     0.0     0.0
"Transformer.RT40_2966"   1   144.0  121.19   625.6   458.8     0.3     0.2     0.0     0.0
