Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.RBT_2122683, 5.474898E-005, -0.0009101142, 5.474898E-005, -0.0009101142, 0, 0
Line.RBT_2121065, 0.1053069, 0.004822077, 0.1053069, 0.004822077, 0, 0
Line.RBT_2134555, 0.1851857, 0.009436449, 0.1851857, 0.009436449, 0, 0
Line.RBT_2132158, 0.561563, 0.02923624, 0.561563, 0.02923624, 0, 0
Line.RBT_2132495, -2.399722E-010, -0.005233863, -2.399722E-010, -0.005233863, 0, 0
Line.RBT_2138583, -1.415449E-010, -0.001486942, -1.415449E-010, -0.001486942, 0, 0
Line.RBT_2113027, 0.03420587, 0.001453824, 0.03420587, 0.001453824, 0, 0
Line.RBT_2133173, 5.476393E-011, -0.001496102, 5.476393E-011, -0.001496102, 0, 0
Line.RBT_2133180, 0.07298004, 0.002319889, 0.07298004, 0.002319889, 0, 0
Line.RBT_2135286, -1.012304E-010, -0.001394839, -1.012304E-010, -0.001394839, 0, 0
Line.RBT_2131946, 0.1235652, 0.006132116, 0.1235652, 0.006132116, 0, 0
Line.RBT_2135957, 26.46628, 1.413082, 26.46628, 1.413082, 0, 0
Line.RBT_2120674, 0.2020553, 0.005601421, 0.2020553, 0.005601421, 0, 0
Line.RBT_2130115, 0.4085256, 0.01660754, 0.4085256, 0.01660754, 0, 0
Line.RBT_2130120, 0.08456939, -0.0003398983, 0.08456939, -0.0003398983, 0, 0
Line.RBT_2133738, 0.05653382, 0.001759713, 0.05653382, 0.001759713, 0, 0
Line.RBT_2134017, 0.01550957, -0.002807397, 0.01550957, -0.002807397, 0, 0
Line.RBT_2120663, 1.441914, 0.07420279, 1.441914, 0.07420279, 0, 0
Line.RBT_2134616, 10.50328, 0.556669, 10.50328, 0.556669, 0, 0
Line.RBT_2133852, 0.4632319, 0.02347829, 0.4632319, 0.02347829, 0, 0
Line.RBT_2113043, 0.2478784, 0.00970881, 0.2478784, 0.00970881, 0, 0
Line.RBT_2134680, 0.6911603, 0.03339718, 0.6911603, 0.03339718, 0, 0
Line.RBT_2134677, 8.775406, 0.7306927, 8.775406, 0.7306927, 0, 0
Line.RBT_2135876, 0.04603318, -0.002640903, 0.04603318, -0.002640903, 0, 0
Line.RBT_2137067, 0.1093087, 0.001276497, 0.1093087, 0.001276497, 0, 0
Line.RBT_2113466, 0.1038198, 0.001297431, 0.1038198, 0.001297431, 0, 0
Line.RBT_2134857, 15.85915, 0.8440661, 15.85915, 0.8440661, 0, 0
Line.RBT_2135040, 0.1035507, 0.003017832, 0.1035507, 0.003017832, 0, 0
Line.RBT_2135032, 1.054176, 0.05281168, 1.054176, 0.05281168, 0, 0
Line.RBT_2134824, -7.077158E-010, -0.0003960046, -7.077158E-010, -0.0003960046, 0, 0
Line.RBT_2134366, 1.462781E-006, -0.0008968233, 1.462781E-006, -0.0008968233, 0, 0
Line.RBT_2114380, 0.08288842, 0.004202382, 0.08288842, 0.004202382, 0, 0
Line.RBT_2113078, 0.1147547, 0.005468638, 0.1147547, 0.005468638, 0, 0
Line.RBT_2113079, 0.2580345, 0.01335259, 0.2580345, 0.01335259, 0, 0
Line.RBT_2113080, 0.161331, 0.007158512, 0.161331, 0.007158512, 0, 0
Line.RBT_2137402, 0.002061666, -0.0001405493, 0.002061666, -0.0001405493, 0, 0
Line.RBT_2135502, 0.2451204, 0.01177043, 0.2451204, 0.01177043, 0, 0
Line.RBT_2135501, 0.001833683, -0.0009864128, 0.001833683, -0.0009864128, 0, 0
Line.RBT_2128950, 0.1691445, 0.006280919, 0.1691445, 0.006280919, 0, 0
Line.RBT_2134222, 0.2484, 0.008809938, 0.2484, 0.008809938, 0, 0
Line.RBT_2135483, 0.01708089, 0.0004183113, 0.01708089, 0.0004183113, 0, 0
Line.RBT_2135951, 7.113209E-005, -0.0006899283, 7.113209E-005, -0.0006899283, 0, 0
Line.RBT_2113086, 0.09828814, 0.003939991, 0.09828814, 0.003939991, 0, 0
Line.RBT_2136081, 0.008786551, -0.003855182, 0.008786551, -0.003855182, 0, 0
Line.RBT_2136432, 0.05539144, 0.002765226, 0.05539144, 0.002765226, 0, 0
Line.RBT_2136124, 3.660268, 0.1915573, 3.660268, 0.1915573, 0, 0
Line.RBT_2136762, 0.9990057, 0.05006429, 0.9990057, 0.05006429, 0, 0
Line.RBT_2136664, 3.655125, 0.1914769, 3.655125, 0.1914769, 0, 0
Line.RBT_2132263, 0.1442486, 0.00688547, 0.1442486, 0.00688547, 0, 0
